,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
9140,Dominion Range 10900,54155,Valid,CO3,26.1,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
17160,Jiddat al Harasis 713,56265,Valid,H6,153.1,Found,2011.0,19.84552,56.73,"(19.845520, 56.730000)"
9430,Elephant Moraine 82608,7833,Valid,LL6,94.5,Found,1982.0,-76.18333,157.16666999999998,"(-76.183330, 157.166670)"
2306,Allan Hills 88077,1121,Valid,H4,11.3,Found,1988.0,-76.71667,159.33333000000002,"(-76.716670, 159.333330)"
41296,Yamato 792588,27937,Valid,H4/5,4.24,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
31038,Ã–sterplana 026,44826,Relict,Relict OC,,Found,2000.0,58.583330000000004,13.433329999999998,"(58.583330, 13.433330)"
27983,Northwest Africa 3063,31194,Valid,LL6,813.0,Found,2002.0,,,
34415,Queen Alexandra Range 97804,21259,Valid,H6,100.8,Found,1997.0,-84.0,168.0,"(-84.000000, 168.000000)"
13647,Grove Mountains 020236,30691,Valid,H5,72.9,Found,2003.0,-72.98306,75.22917,"(-72.983060, 75.229170)"
36354,Roosevelt County 063,22718,Valid,L4,34.7,Found,1969.0,34.08333,-103.5,"(34.083330, -103.500000)"
35254,Queen Alexandra Range 99653,22099,Valid,LL5,4.8,Found,1999.0,-84.0,168.0,"(-84.000000, 168.000000)"
18712,LaPaz Icefield 04586,45144,Valid,LL5,30.2,Found,2004.0,,,
35399,Queen Alexandra Range 99798,22244,Valid,LL5,2.7,Found,1999.0,-84.0,168.0,"(-84.000000, 168.000000)"
42057,Yamato 793413,28762,Valid,H4,14.08,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
25323,Miller Range 090247,54194,Valid,LL6,8.2,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
43795,Yamato 980527,37150,Valid,H4,10.353,Found,1998.0,,,
34931,Queen Alexandra Range 99325,21775,Valid,LL5,52.4,Found,1999.0,-84.0,168.0,"(-84.000000, 168.000000)"
44615,Yamato 982388,39010,Valid,H,66.67,Found,1998.0,0.0,0.0,"(0.000000, 0.000000)"
37360,Sayh al Uhaymir 542,55557,Valid,H6,2850.0,Found,2011.0,20.51228,57.283269999999995,"(20.512280, 57.283270)"
20301,Lewis Cliff 86398,13329,Valid,H5,3.0,Found,1986.0,-84.25471,161.40156000000002,"(-84.254710, 161.401560)"
29441,Northwest Africa 5594,49293,Valid,L6,1160.0,Found,2008.0,0.0,0.0,"(0.000000, 0.000000)"
7045,Dhofar 1054,6859,Valid,H3-6,65.0,Found,2000.0,18.93075,54.672,"(18.930750, 54.672000)"
22510,MacAlpine Hills 041247,45368,Valid,L5,2.0,Found,2004.0,,,
39649,Yamato 790384,25733,Valid,L5,13.9,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)"
29525,Northwest Africa 5793,48993,Valid,LL3.8-4,3500.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
17616,LaPaz Icefield 02351,12618,Valid,LL5,25.16,Found,2002.0,,,
17755,LaPaz Icefield 031053,34835,Valid,L5,5.9,Found,2003.0,,,
31227,Patuxent Range 10277,57079,Valid,H6,1.1,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
37150,Sayh al Uhaymir 249,23422,Valid,H5,486.21,Found,2002.0,20.5828,57.36066999999999,"(20.582800, 57.360670)"
7572,Dhofar 201,6985,Valid,L5,139.0,Found,1999.0,18.39333,54.166669999999996,"(18.393330, 54.166670)"
11298,Elephant Moraine 96107,9701,Valid,L6,1.5,Found,1996.0,-76.18333,157.16666999999998,"(-76.183330, 157.166670)"
15046,Grove Mountains 051735,50302,Valid,L6,1.38,Found,2006.0,-72.77833000000001,75.31833,"(-72.778330, 75.318330)"
25822,Miller Range 090750,54350,Valid,H5,6.1,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
33450,Queen Alexandra Range 94664,20295,Valid,L5,10.7,Found,1994.0,-84.0,168.0,"(-84.000000, 168.000000)"
4190,Asuka 881182,3891,Valid,H4,16.21,Found,1988.0,-72.0,26.0,"(-72.000000, 26.000000)"
37838,Tanezrouft 041,23842,Valid,L3.8,123.0,Found,1992.0,25.46806,0.06861,"(25.468060, 0.068610)"
35551,Ramlat al Wahibah 026,45897,Valid,H5,342.66,Found,2006.0,21.310370000000002,58.40223,"(21.310370, 58.402230)"
19913,Lewis Cliff 86001,12941,Valid,Eucrite-pmict,290.6,Found,1986.0,-84.25469,161.39928,"(-84.254690, 161.399280)"
30168,Northwest Africa 6997,54572,Valid,L4-5,110.5,Found,2004.0,0.0,0.0,"(0.000000, 0.000000)"
25353,Miller Range 090278,54224,Valid,L6,21.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
20008,Lewis Cliff 86097,13036,Valid,L6,2.5,Found,1986.0,-84.25744,161.48632,"(-84.257440, 161.486320)"
23916,Meteorite Hills 01225,16457,Valid,LL6,10.2,Found,2001.0,-79.68333,159.75,"(-79.683330, 159.750000)"
22528,MacAlpine Hills 041265,46317,Valid,H5,3.3,Found,2004.0,,,
13496,Grove Mountains 020059,46650,Valid,L4,209.0,Found,2003.0,-72.99417,75.20528,"(-72.994170, 75.205280)"
13988,Grove Mountains 021730,47849,Valid,L6,9.72,Found,2003.0,-72.79055600000001,75.298889,"(-72.790556, 75.298889)"
44472,Yamato 982183,38805,Valid,L6,33.55,Found,1998.0,0.0,0.0,"(0.000000, 0.000000)"
36153,Roberts Massif 04185,36535,Valid,LL5,7.7,Found,2004.0,,,
37645,Sleeper Camp 009,23635,Valid,L6,145.3,Found,1992.0,-30.16283,126.40833,"(-30.162830, 126.408330)"
24543,Miller Range 07168,51222,Valid,H5,87.5,Found,2007.0,0.0,0.0,"(0.000000, 0.000000)"
20034,Lewis Cliff 86123,13062,Valid,H4,11.5,Found,1986.0,-84.25773000000001,161.38703,"(-84.257730, 161.387030)"
